LAB|BTCUSD|5|first=1785715200000|from=1785888000000|last=1789284600000|nD=40|uIn=4
V24|97|27|32071|-29084|2681.3|6626.7|51192255.8|2
V25|142|46|34311.2|-39303.6|3923.7|9318.8|45455446.1|2
V26|525|268|60454.8|-72019.3|14554.6|12351|30589393.7|2
V27|197|77|29404.2|-34540.6|5457.5|7118.4|19752183.3|1
V28|681|246|80243.7|-91949.8|18874.3|13213.2|56925225.8|4
V29|506|147|76578.4|-81738|14012.5|8934.7|54397097.7|3
V30|279|45|50278.9|-58838.8|7723.5|13022|80223920.7|2
V31|44|14|3691.3|-6429.8|1214|3707.1|2666910.8|1
V32|238|91|40903.9|-45056.7|6602|8928.6|36595033.7|1
LAB|BTCUSD|5|first=1764547200000|from=1764720000000|last=1767830100000|nD=36|uIn=0
V01|154|43|35105.2|-40071.9|5511.1|6775.1|43153004|0
V02|186|57|32219|-43358.9|6652.2|11471.4|35048361.3|0
V03|195|79|35906.8|-40943.4|6993.4|8790.2|31397697.2|0
V04|166|48|30546.4|-42557.7|5941.6|12011.3|42311032.3|0
V05|134|29|29032.9|-39749.9|4792.5|10717|49258955.6|0
V06|123|38|31086.7|-32181.7|4403|3663.4|37570559.5|0
V07|172|45|37652.5|-46767.8|6160.7|11241.8|44714148.2|0
V08|143|40|35467.1|-39618.7|5120.6|5232.6|39984813|0
V09|94|29|24136.6|-24151|3359.7|4641|29186558.3|0
V10|150|40|35250.6|-42886|5383.5|8709.3|51033653.5|0
V11|195|55|32222|-41823.4|6981.3|10011.2|30941024.9|0
V12|71|13|9572.3|-16656.9|2539.7|8178.4|17179562.2|0
V13|155|44|36738.7|-40750.7|5547.5|5759.6|40292622.5|0
V14|141|41|34879|-35634.5|5047|5079.6|34560854.4|0
V15|161|43|35176.8|-41546.2|5760.2|7888.1|44298195.4|0
V16|72|16|8516.3|-15782.2|2576.1|8175.3|12514770.2|0
V17|218|69|40997.2|-48909.1|7795.4|10675.1|46788583.1|0
V18|172|52|40819.5|-41808.1|6163.1|13278.3|49064633.4|0
V19|326|130|43758.4|-54897.5|11650|14063.2|47357601.5|0
V20|107|40|23937.3|-23953.3|3829.1|4054.8|20478231.2|0
V21|87|23|19957.1|-23372|3109.7|6625.2|28462425.1|0
V22|87|30|18779.9|-20856.8|3118.5|3393.3|18509743|0
V23|98|24|19104.8|-31629.3|3516|12524.5|51511385.2|0
V24|92|13|15842.3|-34267.7|3294.7|18425.4|67512847.3|0
V25|122|29|21123.7|-40078.3|4382.9|18954.6|36071050|0
V26|423|214|45154.3|-60289.1|15142.4|15784.5|27238374.4|0
V27|155|58|20941.4|-30034.2|5547.8|11860.1|22688042.7|0
V28|632|230|73807.5|-83806.6|22659.4|10684.3|59480805.2|0
V29|448|121|65173.6|-74365.7|16050.4|12246.7|68943458.2|0
V30|181|33|49552.5|-39395.7|6510.6|6999.6|92824290.7|0
V31|67|20|6917.8|-8611|2397.2|3714.3|8804316.4|0
V32|222|77|31748.8|-41394.1|7940.1|10193.4|22486989.1|0
LAB|BTCUSD|5|first=1757289600000|from=1757462400000|last=1760572500000|nD=36|uIn=0
V01|127|48|33218.3|-29067.8|5935.5|5631.1|42231133|0
V02|174|64|40375.6|-41694.8|8078.9|5715.7|79501256.3|0
V03|177|77|32798.1|-34716.2|8249|10105.4|40722946|0
V04|146|65|38654.3|-28414|6803.3|4214.2|65122993.6|0
V05|101|36|34372.7|-26054.9|4728.3|4039.3|57093407.9|0
V06|120|43|25960.9|-26772.4|5594|7057.3|30732675.7|0
V07|163|54|35227.7|-37930.2|7594.9|8299.7|43996273.5|0
V08|142|53|34820|-31049.5|6584.3|4589.4|32814678.6|0
V09|107|35|25796.8|-26542.4|4977.7|5760|38152898.1|0
V10|147|56|38636.4|-35344.3|6870.2|8119.4|53245847.5|0
V11|172|61|39616.7|-40939.7|8028.7|7234.8|78117645.3|0
V12|71|20|13505.9|-18103.1|3294.4|6920|18877704.8|0
V13|131|45|29844.3|-33187.8|6121.4|10152.3|43097474.7|0
V14|154|50|35845.5|-41791.4|7148.5|9507.5|53059375.3|0
V15|137|52|35249.8|-29347.4|6376.3|3814.6|35709008|0
V16|72|24|12861.3|-15490.4|3335.2|4586.5|18095359.7|0
V17|201|69|36411.2|-43421.5|9370|11695.4|42172341.1|0
V18|165|49|30578.1|-39375.9|7709.5|12495.1|29928570.4|0
V19|312|126|46370.6|-60771.2|14422.7|17885.7|46500897.5|0
V20|90|29|16674.6|-24815.6|4176|9898.6|24057179.4|0
V21|81|19|16835.6|-25477|3760.8|9535|21542286|0
V22|75|30|16746.7|-17741.3|3482.1|5255.9|19988660.2|0
V23|121|40|26878.6|-37635.9|5620.4|13869.5|42722558.8|0
V24|112|18|18741|-42184.4|5200.8|24409.4|45081456.6|0
V25|139|45|33272.7|-45436.3|6460.4|15089.7|53588940.5|0
V26|478|240|46860.5|-72479.2|22193.3|26436|58655419.8|0
V27|181|71|22960.7|-34910.4|8408|13853.5|35191162|0
V28|606|204|51963.7|-83331.6|28220.9|31582.2|89677745.3|0
V29|489|128|56249.2|-75390.5|22731.8|19254.1|71395719.7|0
V30|215|29|33736.8|-47597.1|10094|15137.1|37839329.2|0
V31|40|16|4845.5|-5945.6|1821.3|2010.7|4446075.5|0
V32|213|80|41663.2|-43955.2|9894|5946.6|99438729.1|0
LAB|BTCUSD|5|first=1750032000000|from=1750204800000|last=1753314900000|nD=36|uIn=0
V01|166|45|29859.8|-48525|7395.5|19490.9|48178747.3|0
V02|189|50|27698.8|-49644.9|8415|22771.8|49114634.7|0
V03|195|74|29929.1|-48199.7|8726.6|18947.5|43849277.1|0
V04|172|53|29360.1|-48044.8|7676.8|19318.5|44364060.3|0
V05|154|37|32596.5|-46976.6|6876.8|15573.9|60062233.3|0
V06|129|33|23839|-40612.3|5729.1|17021.3|39929885.9|0
V07|195|50|32835|-57528.6|8681|25262.3|52825577.8|0
V08|191|48|31947.2|-56288.2|8494.1|26678.2|63086743.6|0
V09|118|31|20056|-34038.7|5267.1|14269.7|31699157.3|0
V10|188|53|34126|-55658.6|8334.8|22358.7|64468008.4|0
V11|187|55|30381.1|-46498.4|8349.8|16874.4|44147337|0
V12|72|20|12286.6|-16746.5|3200.2|6597.9|18567459.1|0
V13|173|46|31330.5|-50271.5|7698.3|20589|56106168.6|0
V14|166|43|26918.2|-47554.4|7355.2|21564.6|40675179.2|0
V15|170|46|30377.5|-49262.9|7570.6|19711.1|45259802.3|0
V16|72|22|10680.9|-15689.2|3199.5|6802.4|18179996.2|0
V17|222|79|41627.1|-52287.9|9853.7|11494.8|47297264.7|0
V18|194|52|31916.6|-54134.6|8593.9|22947.3|52019022.2|0
V19|308|124|40795.9|-61332.4|13710.4|21083.1|47956379|0
V20|95|28|16972.8|-24930.2|4193.7|9756.2|17899925.5|0
V21|90|19|17864.4|-26844.9|3981.6|10209.8|28310083|0
V22|83|27|15222.5|-20145.5|3675.9|5564.9|10122619.4|0
V23|116|36|24379.9|-35104.5|5150.5|11134.5|55852130.7|0
V24|105|22|23662.9|-36857.6|4668.1|13194.6|63965859.8|0
V25|144|43|28267.1|-44458.9|6417.5|18947.9|66760262.2|0
V26|511|250|47999.1|-68998.4|22702.6|22272.8|55169880.8|0
V27|174|65|20678.3|-29967.2|7735.4|10760.7|19568554.9|0
V28|641|228|65364.5|-89263.3|28392.5|28544.2|66913637.1|0
V29|533|148|71121.7|-84772.6|23576.7|16908.7|58351987.9|0
V30|234|29|33550.5|-50380.6|10378.2|21383.6|104006787.1|0
V31|46|14|4107.4|-6846.5|2025.7|3573.8|3714757.2|0
V32|212|68|27786.4|-46921.6|9470.6|19507.1|39937605.3|0
LAB|BTCUSD|5|first=1743379200000|from=1743552000000|last=1746662100000|nD=36|uIn=9
V01|149|38|35649.6|-47637.6|5267.5|14990.3|53288182.2|2
V02|188|55|41633.6|-47970|6611.4|11344.6|59585271.1|2
V03|207|77|36023.7|-52966.2|7350.7|17856.8|50597447.4|2
V04|180|54|34936.6|-50358|6393.7|16027|41116153.3|2
V05|135|31|36354.9|-44601.5|4791.6|15333.6|77410054.5|1
V06|131|38|32031.7|-40759.9|4653.6|11311.5|53107319.6|2
V07|172|43|34960.9|-51980.2|6100.2|19148|47241028.2|2
V08|160|40|34896.2|-49874.8|5664.8|18050.5|64521964.9|2
V09|114|26|23219.9|-36896.8|4047.2|14250.7|39121632.2|2
V10|158|38|35819.2|-51951.3|5619.3|19733.8|74696110.3|2
V11|205|45|32750.6|-55055.5|7243|22731.1|67440829.8|2
V12|71|18|11318.5|-19998.6|2501.8|9238.4|26580397.6|0
V13|150|39|36113.1|-48671.6|5301.8|13981.2|51026369.7|1
V14|151|41|34496.6|-45163|5332.8|15310.6|46077925.3|2
V15|151|37|33823.4|-49162.9|5338.2|18341.8|55186214.4|2
V16|72|24|11230.6|-17704.4|2538.9|7701|18771757.8|0
V17|241|73|41112|-62658.5|8506.3|22503.9|88686505.2|3
V18|217|48|35688.7|-63719.4|7644|28827.2|77149837.4|1
V19|345|130|52243|-70746.6|12201.7|19256.6|90690636|3
V20|94|36|22923.3|-26165|3316.5|8248.2|51398637|0
V21|82|23|24532.5|-26575.4|2877.6|6904.3|72429964.4|0
V22|81|30|19568.7|-22344.3|2863.6|6111.6|35875035.9|0
V23|145|42|29055.4|-44112.8|5153|16487.6|45493436.5|1
V24|128|29|30077.2|-43389.3|4549.4|14808.3|54314083|0
V25|154|44|35292.1|-46665.4|5505.5|17839.7|60185241.3|1
V26|483|229|55445.9|-75994.7|17052.6|22278.8|60589688.9|4
V27|164|68|26670|-30418.6|5798.7|4725.2|20221027.4|2
V28|748|249|89811.1|-109651|26340.1|21351.4|99515067.2|5
V29|561|150|87189.7|-96117.6|19747|16235.5|148819887.5|4
V30|233|33|49506.6|-56750.3|8264.1|15941.3|103710202.9|0
V31|58|17|6112.6|-8326|2059.7|3026.7|4977232.5|0
V32|229|74|39778.6|-50084.6|8040.9|10689.3|43315834.1|2
LAB|BTCUSD|5|first=1736121600000|from=1736294400000|last=1739404500000|nD=36|uIn=0
V01|133|45|54697.1|-58236.9|5267.4|13438.1|97020139.2|0
V02|167|61|58819.4|-57931.4|6635.9|7416.9|72835296|0
V03|214|88|60462.5|-71220.3|8514.7|13962.8|76506225.3|0
V04|178|62|62006|-66502|7088.5|11849.1|81594926|0
V05|114|36|54105.3|-54522.1|4510.9|11402.5|110687158.9|0
V06|113|37|46344.1|-52931.5|4477.7|17414.7|109446607|0
V07|157|50|60713.1|-66932.9|6218.2|14696.8|96715033.6|0
V08|154|50|62702.9|-65267|6089.5|11986.3|105829195.1|0
V09|94|29|26687.5|-43479.3|3713.2|21529.2|67565036.1|0
V10|142|49|59742.9|-61576.1|5629.5|16200.3|114274680.8|0
V11|160|53|55008.6|-57820.8|6394.2|12146.3|85603313.2|0
V12|72|25|25863.4|-23934.1|2868.3|3484.3|30844345.5|0
V13|134|44|55121.4|-59119.5|5303.7|12154|85594511.3|0
V14|132|46|54281.6|-53875.2|5236.7|11574.7|101919018.3|0
V15|136|45|55648.5|-59534|5387.2|13443.5|89754916.8|0
V16|72|28|23288.1|-21879.4|2867.8|4399.5|24405971.3|0
V17|246|91|77823.3|-75848.8|9819.2|8552.9|95422777.2|0
V18|182|59|68701.8|-67884.1|7290.6|8096.8|96095062.6|0
V19|345|156|92294.3|-81339|13786|7057.1|110952424.5|0
V20|115|46|47674.4|-38938.2|4582|7979.9|109891180.7|0
V21|101|32|44754.4|-41326.4|4020.4|9891.3|116982387.4|0
V22|99|40|39376.3|-33964.8|3941.2|6153.1|71171687.2|0
V23|104|46|56739.4|-38723.7|4119.1|7760.5|141562075.1|0
V24|83|27|47641.7|-37978.8|3287.1|5756.2|136149471.2|0
V25|115|47|55839.8|-47305.1|4546.2|10581.9|166426307.4|0
V26|496|250|84880.5|-97637.8|19749|20625.9|79184547|0
V27|181|62|35989.5|-51061.9|7191.1|15802.4|50778283.9|0
V28|676|223|116016.4|-132812.2|26926.7|18934.3|171811516.1|0
V29|549|142|117108.6|-120362.1|21832.3|11977.9|224067841.2|0
V30|104|12|41781|-30585.8|4116.2|8839.8|298753987.7|0
V31|50|10|6548.3|-12012.2|1999.6|5836|6301156.7|0
V32|214|81|60279.8|-60472|8544.4|9727|82862702.6|0
LAB|BTCUSD|5|first=1729468800000|from=1729641600000|last=1732751700000|nD=36|uIn=0
V01|163|50|48228.9|-52979.1|5268.5|12872.6|101552912.5|0
V02|171|65|45498.2|-47239.6|5540.6|9975.9|105079449.2|0
V03|227|99|58481.6|-54396.5|7361.2|7963.7|88161783.1|0
V04|186|68|54925|-55110.9|6013.2|10277.2|110352593.4|0
V05|133|35|43960.5|-46065.9|4300.7|10847.7|131956757.3|0
V06|138|46|41898.5|-40295.8|4408.3|9826.7|83722171.8|0
V07|165|49|47771.1|-55872|5298.8|14587.8|98703174.1|0
V08|167|47|46258.5|-55046.5|5379.7|19161.2|112743784.8|0
V09|103|33|32002.3|-31289.8|3340.5|7395|41865978.1|0
V10|185|53|52370|-62377.8|5932|15451|111416691.6|0
V11|194|65|50732.2|-51141.4|6339.5|10050.6|85927649.3|0
V12|72|22|17021.2|-20689.5|2330.8|9951.7|32766667.8|0
V13|166|48|46847.4|-56587.4|5345.6|17009.7|116183795|0
V14|152|47|46059.1|-47977.9|4918.5|12323.3|106382710.4|0
V15|168|49|47533.1|-55247|5402.7|13801.4|108373044.1|0
V16|72|24|13402.9|-20383.3|2329.2|10444.9|23856748.3|0
V17|274|104|77538|-68906.7|8939.5|12379.1|117360912|0
V18|199|64|59656.3|-60374.6|6410.8|11627.1|146985470.1|0
V19|322|141|70191.8|-70816.2|10414.4|12631.9|97256449.5|0
V20|101|36|26950.4|-30364.8|3316.7|6214.4|34436581.9|0
V21|87|24|25753.5|-29396.7|2815.8|8915.1|54268961.5|0
V22|85|32|26411.9|-25825.2|2808|6779.4|40914428.6|0
V23|117|40|36999.7|-38580.4|3761.8|13067.9|96297445.9|0
V24|97|23|30657.9|-37508|3085.2|19518.3|103062729.5|0
V25|132|45|41110.4|-49451.6|4278.2|17860|108283911.7|0
V26|497|252|71224.8|-83780.7|16252.7|13405.1|63338079.3|0
V27|189|69|35468|-46396.9|6193.9|11492.4|47328999.2|0
V28|711|247|96428.4|-115877|23143.4|19484.3|71627502.2|0
V29|565|147|96791.8|-106741.2|18301.5|10992.6|130698474.4|0
V30|245|33|54004.9|-57955.7|7718.1|14195.4|187409310.5|0
V31|29|8|4545.9|-4377.9|954.4|1217|3056306|0
V32|215|88|50790.7|-49221.3|7000|10859.5|74287636.3|0
LAB|BTCUSD|5|first=1722211200000|from=1722384000000|last=1725494100000|nD=36|uIn=0
V01|179|55|45092.2|-39186.9|4285.8|8582.1|49267445.4|0
V02|191|58|37001.2|-40299.5|4575.7|12250.9|47361371.8|0
V03|222|91|42814.3|-42038.6|5324.6|8848.2|33703021.5|0
V04|190|69|43164.9|-39019.4|4559.7|6673.4|38906182.8|0
V05|134|33|37612.3|-34493.6|3189.8|11254|61927096.4|0
V06|151|46|37918.6|-33481|3622.3|6555.3|43904490.3|0
V07|189|52|42772.1|-43831.6|4540.3|10785.2|51992826.9|0
V08|170|53|43372.7|-39946.7|4075|7783.5|51861987.4|0
V09|106|37|29926.2|-21374.4|2549.3|4669|43253167|0
V10|171|58|54529.1|-36094.7|4112.6|4452.4|134554776.6|0
V11|205|63|44881|-38561.2|4908.4|10149.2|50789723.7|0
V12|72|19|14154.8|-16219|1728.1|5183.9|16745603.2|0
V13|177|55|47217.2|-39417.8|4237.5|8323.1|63250212.6|0
V14|166|49|38241.4|-36148.5|3970.7|7460.3|34468308.4|0
V15|181|53|43566.2|-40796.5|4331.7|10728.8|47836837.8|0
V16|72|26|14541.1|-14441.8|1728.6|4009.1|14358280.5|0
V17|250|80|49557.7|-53328|5992|10154.1|51961262.9|0
V18|174|54|44835.6|-39940.7|4157.4|5844|49301807.2|0
V19|330|135|50802.9|-54525.3|7937.3|9494.4|42642180.4|0
V20|105|38|29798.2|-25505.3|2519.3|5077|63644030|0
V21|83|23|24500.5|-23656.8|2002.6|3856.2|58189874.5|0
V22|95|35|23243.8|-23058|2279|5762.3|29216619.9|0
V23|108|30|23754.7|-29715.1|2595.7|8830.2|33046210.5|0
V24|93|18|22496.9|-29322.5|2224.7|9885|30915359.4|0
V25|139|45|33855|-35596.8|3344.5|6452.2|50083937.4|0
V26|447|226|53357.1|-62423.1|10739.9|10912.2|59336847.2|0
V27|175|73|27675.5|-32545|4199.4|6508.5|15760111.6|0
V28|621|208|65650.2|-86464.4|14923.4|23051.3|83664747.4|0
V29|451|116|65310.3|-74778.2|10788.1|10918.1|101356494.4|0
V30|196|23|33510.7|-46376.4|4704.6|20025|120333803.6|0
V31|54|16|5482.4|-7151.2|1298.9|2275.4|3192555.3|0
V32|223|78|38396|-38279.8|5351|10341.4|34868772|0
LAB|BTCUSD|5|first=1714953600000|from=1715126400000|last=1718236500000|nD=36|uIn=0
V01|150|49|29547.2|-28585.6|4020.6|3559.8|20081554.2|0
V02|184|60|28671|-29736.8|4946.9|6858.9|25089252.6|0
V03|197|87|30089.6|-29607.2|5296.1|5227.9|18530518.4|0
V04|163|61|29435.3|-28839.7|4374.3|3546.3|13865135.6|0
V05|123|35|25687.3|-24837|3308.2|3440.7|24611608.1|0
V06|147|40|23735.5|-26964.9|3967|5021.8|23057099.1|0
V07|157|53|32618.4|-29754.2|4217|3774.6|23205035|0
V08|166|48|28349.7|-33770.9|4451.1|7500.8|14052691.9|0
V09|108|37|21643.4|-18986.8|2895|4013.2|18091989.6|0
V10|182|51|31388.1|-36993.5|4893.3|7446|25063192.4|0
V11|185|61|29402.6|-27245.1|4973.3|2758.1|15737558.4|0
V12|70|17|7145.8|-12259.2|1880|6511.9|6274364.9|0
