script_tf,from,to,windows,variant,label,family,trades,trades_per_month,win_pct,profit_factor,net_pts,gross_pts,cost_pts,avg_win,avg_loss,bps_per_trade,daily_sharpe,worst_window_dd,positive_windows,user_trades_caught,net_by_window_oldest_first
Nifty 3m,2025-02-07,2026-09-11,5,V21,SHA flip RR3,C SHA flip,425,22.3,31.5,0.731,-3430,743,4173,69.5,-43.8,-3.29,-2.063,1679,0/5,,-365 -649 -209 -527 -1679
Nifty 3m,2025-02-07,2026-09-11,5,V22,SHA flip +EMA200 RR2,C SHA flip,335,17.5,34.9,0.639,-3538,-247,3291,53.6,-45.0,-4.3,-2.751,1628,0/5,,-196 -740 -324 -650 -1628
Nifty 3m,2025-02-07,2026-09-11,5,V23,Donchian20 +SHA RR2,D Breakout,562,29.4,35.2,0.747,-4228,1289,5518,63.0,-45.9,-3.07,-2.403,2522,1/5,,-342 -1585 -245 261 -2318
Nifty 3m,2025-02-07,2026-09-11,5,V24,Donchian20 +SHA RR3,D Breakout,528,27.6,31.6,0.669,-5559,-378,5181,67.3,-46.5,-4.29,-3.085,2890,1/5,,-436 -1893 -664 83 -2649
Nifty 3m,2025-02-07,2026-09-11,5,V25,Donchian10 +SHA RR2,D Breakout,667,34.9,36.4,0.782,-4401,2144,6545,65.0,-47.6,-2.69,-2.204,2057,1/5,,-1267 -1476 -70 76 -1665
Nifty 3m,2025-02-07,2026-09-11,5,V26,RSI3 snap-back 10/90 RR1,E RSI3 snap-back,2078,108.8,49.0,0.467,-21308,-878,20430,18.3,-37.7,-4.17,-11.185,4978,0/5,,-3738 -4978 -4784 -4000 -3809
Nifty 3m,2025-02-07,2026-09-11,5,V27,RSI3 snap-back 5/95 RR1.5,E RSI3 snap-back,809,42.4,39.3,0.628,-6948,997,7945,36.8,-38.0,-3.5,-4.658,1904,0/5,,-1277 -1904 -1239 -1010 -1519
Nifty 3m,2025-02-07,2026-09-11,5,V28,Sweep-fade RR2 (BN v13 idea),F Sweep-fade,3092,161.9,33.1,0.458,-32240,-1883,30358,26.6,-28.7,-4.25,-13.563,7092,0/5,,-6683 -6428 -5981 -6899 -6249
Nifty 3m,2025-02-07,2026-09-11,5,V29,Sweep-fade RR3,F Sweep-fade,2668,139.7,25.1,0.513,-28027,-1826,26200,44.1,-28.8,-4.28,-10.998,6229,0/5,,-5453 -6177 -4958 -6008 -5431
Nifty 3m,2025-02-07,2026-09-11,5,V30,Sweep-fade RR6,F Sweep-fade,1971,103.2,16.4,0.494,-24295,-4943,19352,73.1,-29.1,-5.02,-9.099,6157,0/5,,-3940 -5600 -4268 -6008 -4479
Nifty 3m,2025-02-07,2026-09-11,5,V31,Sweep with-trend (SHA) RR2,F Sweep-fade,182,9.5,34.6,0.428,-2034,-247,1788,24.1,-29.9,-4.55,-3.903,627,0/5,,-555 -129 -393 -505 -453
Nifty 3m,2025-02-07,2026-09-11,5,V32,v3.0-lite EOD minSL1.5 RR2,A SHA+RSI3 pullback,944,49.4,32.4,0.569,-11180,-1900,9280,48.3,-40.7,-4.82,-5.881,3206,0/5,,-2201 -2287 -1238 -3203 -2251
