LAB|XAUUSD|5|first=1784498400000|from=1784678400000|last=1789160100000|nD=37|uIn=4
LAB|XAUUSD|5|first=1762729200000|from=1762905600000|last=1767830100000|nD=39|uIn=0
V01|173|55|1205.9|-1411.5|294.2|304.3|51813.6|0
V02|196|66|1131.8|-1429.7|333.4|352.9|46951.6|0
V03|214|86|1149.8|-1483.7|364|407.1|39322.1|0
V04|192|63|1113.6|-1524.1|326.5|458.7|53381.3|0
V05|150|38|1095.8|-1352.8|255|364.7|55897.6|0
V06|139|42|951.1|-1132|236.8|280.1|28544.7|0
V07|197|56|1244.3|-1637.5|334.5|539.3|79063.9|0
V08|181|57|1271|-1474.3|307.3|351.5|61976.3|0
V09|125|32|639.4|-1091.6|213|479.2|40046.8|0
V10|191|53|1195.2|-1699.2|324.3|592.8|55022.2|0
V11|214|59|1089.9|-1487.1|364.3|481|49640.1|0
V12|78|26|526.8|-533.3|133|141|15445.3|0
V13|172|54|1200.3|-1414.3|292.6|305|52170.9|0
V14|165|53|1154|-1327|280.6|292.8|52792.4|0
V15|174|56|1222|-1419.1|296.1|308.4|55657|0
V16|78|30|485.8|-498.9|133|100|11709.1|0
V17|274|93|1527.1|-1933.3|467.2|565.9|52121|0
V18|204|58|1273.4|-1683.6|348.6|539|55140.3|0
V19|380|145|1570.4|-2285.4|647|743.3|50904.9|0
V20|110|41|824.5|-750.6|187.2|249.8|23303.2|0
V21|92|25|778.3|-744.1|157|248|39831.7|0
V22|91|36|720.2|-606.1|155|174.7|19127|0
V23|132|48|1021.5|-1053.5|225.4|231.8|31061.5|0
V24|104|30|980.6|-986.9|177.3|214.3|30487.4|0
V25|145|55|1140.8|-1147.5|248.1|193.4|34092.5|0
V26|460|230|1334.6|-2129.8|783.6|817.7|50495|0
V27|198|88|920.1|-1035.5|337.5|254.9|38649.6|0
V28|755|260|2302.2|-3470.2|1284.2|1204.6|104522|0
V29|557|144|2137.4|-3034.1|945.5|1018.8|107922.2|0
V30|278|36|1323.5|-1879.4|474|578.5|68387.2|0
V31|69|19|183.2|-307.5|117|161.8|4000.1|0
V32|238|78|1008|-1529.4|404.7|576.4|36113.7|0
LAB|XAUUSD|5|first=1756072800000|from=1756252800000|last=1760572500000|nD=36|uIn=0
V01|154|56|899.9|-831.6|230.5|105|18069.5|0
V02|183|61|791.9|-906.2|274.4|177.6|17998.7|0
V03|192|87|802.8|-897.2|288.8|146.3|18067.7|0
V04|167|64|807.4|-887.3|250.5|173|15078.6|0
V05|137|42|848.4|-825.3|205.6|90.3|17753.6|0
V06|126|44|734.8|-690.8|188.3|132.5|16015.2|0
V07|154|54|871.1|-897.4|231.5|97.3|16840|0
V08|155|54|877.1|-918.6|233.3|97.3|20220.9|0
V09|102|33|536|-556.9|152.6|94.3|13049.7|0
V10|166|63|1074.6|-916.7|249.7|101|27813.5|0
V11|188|62|865.6|-868.6|281.8|169.7|20929.4|0
V12|72|22|331.3|-363.8|107.9|165.7|11600.5|0
V13|144|54|942.9|-783|216.3|87.2|21211.4|0
V14|149|55|873.8|-811.1|223.4|98.3|18047.6|0
V15|158|56|889.5|-873.7|236.7|111.9|18677.3|0
V16|72|25|261|-348.3|107.9|152.7|5754|0
V17|248|84|1073.8|-1231|371.1|359.9|30519.9|0
V18|204|57|976.2|-1159.3|305.2|304|37463.3|0
V19|330|134|1019.3|-1372.3|494.3|417.7|25240.8|0
V20|101|43|620.1|-494.6|151.7|46.2|12555.3|0
V21|81|25|591.9|-494.2|121.7|121.2|29723.2|0
V22|81|34|473.4|-393.7|121.1|90.1|13461.7|0
V23|137|43|690.1|-834|204.9|201.7|14497.3|0
V24|118|30|776.8|-797.1|176.7|148.6|20912.8|0
V25|150|54|899.7|-861.6|224.6|176.3|19131.4|0
V26|475|236|912.7|-1625.1|711.9|733.1|26684.3|0
